Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest Tuned,0.8890517674652371,0.8565507713562054,0.8413434354856949,0.8488790005134349,0.9548228696520864
Random Forest Tuned + Optimized Threshold,0.8890517674652371,0.8565507713562054,0.8413434354856949,0.8488790005134349,0.9548228696520864
Random Forest,0.8904757915898811,0.8879890356341889,0.8059482076218478,0.8449819194973027,0.9584339798291698
XGBoost,0.874643993968839,0.8596016719940989,0.7906818952844058,0.8237026565353125,0.94834968557507
Logistic Regression,0.841011894789747,0.82282205449661,0.7273549700327943,0.7721488595438175,0.920899532732162
