Threshold,Accuracy,Precision,Recall,F1-Score
0.2,0.759968168872508,0.6096392333709132,0.9784009951373968,0.7512046885174735
0.25,0.7905428044898642,0.6446100572116832,0.9683365373741942,0.7739865322908663
0.3,0.8170547830457363,0.6799646103112684,0.9560104037091485,0.7946982515510435
0.35,0.8423102697269225,0.7192573402417962,0.9418749293226281,0.8156490231601625
0.4,0.8664767967833809,0.7669215519682809,0.9186927513287346,0.8359744803457502
0.45,0.8821829452169543,0.8155746284278836,0.8811489313581364,0.8470946349948361
0.5,0.8890517674652371,0.8565507713562054,0.8413434354856949,0.8488790005134349
0.55,0.8877115094655721,0.8839730807577268,0.8021033585887143,0.8410505721230805
0.6,0.8813034009046742,0.9025860913841619,0.761732443740812,0.8261989451735557
0.65,0.873219969844195,0.9181765890135174,0.7220400316634626,0.8083813382287777
0.7,0.8619534260345116,0.9362907031618688,0.673074748388556,0.783157894736842
